"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Blacksburg-Christiansburg-Radford, VA","13980",2013,356,332,24,0,0,0,0,84,49,38,0,0,356,0,0
"Bloomington, IL","14010",2013,355,303,51,1,0,0,0,105,58,37,0,0,355,0,0
"Bloomington, IN","14020",2013,360,266,93,1,0,0,0,122,61,42,0,0,133,227,0
"Boise City, ID","14260",2013,365,271,79,11,4,0,0,185,73,38,1,74,178,53,59
"Boone, NC","14380",2013,122,109,12,0,1,0,0,153,51,26,0,0,0,122,0
"Boston-Cambridge-Newton, MA-NH","14460",2013,365,217,139,9,0,0,0,126,73,48,0,10,129,225,1
"Boulder, CO","14500",2013,360,238,106,15,1,0,0,151,87,45,0,0,336,23,1
"Bowling Green, KY","14540",2013,365,281,83,1,0,0,0,105,61,41,0,0,243,122,0
"Bozeman, MT","14580",2013,365,334,31,0,0,0,0,76,48,24,0,7,0,358,0
"Brainerd, MN","14660",2013,365,338,27,0,0,0,0,79,49,31,0,0,199,166,0
"Branson, MO","14700",2013,264,230,34,0,0,0,0,100,53,38,0,0,192,72,0
"Bremerton-Silverdale, WA","14740",2013,349,341,8,0,0,0,0,75,40,17,0,0,0,349,0
"Bridgeport-Stamford-Norwalk, CT","14860",2013,365,196,144,19,6,0,0,185,91,48,0,18,124,223,0
"Brookings, SD","15100",2013,365,322,43,0,0,0,0,93,54,38,0,0,304,41,20
"Brownsville-Harlingen, TX","15180",2013,365,255,110,0,0,0,0,95,67,42,0,0,172,193,0
"Brunswick, GA","15260",2013,312,285,27,0,0,0,0,80,50,33,0,0,194,118,0
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2013,365,258,103,4,0,0,0,122,63,43,0,14,191,160,0
"Burlington, NC","15500",2013,356,313,43,0,0,0,0,78,52,31,0,0,0,356,0
"Burlington-South Burlington, VT","15540",2013,365,305,59,1,0,0,0,133,56,39,0,3,253,109,0
"Butte-Silver Bow, MT","15580",2013,365,275,84,5,1,0,0,152,64,29,0,0,0,314,51
"Cadillac, MI","15620",2013,365,315,49,1,0,0,0,101,61,38,0,0,346,19,0
"Cambridge, MD","15700",2013,365,297,66,2,0,0,0,108,60,40,0,0,291,74,0
"Canton-Massillon, OH","15940",2013,365,245,117,3,0,0,0,112,67,45,1,0,107,257,0
"Cape Coral-Fort Myers, FL","15980",2013,365,317,48,0,0,0,0,93,53,36,0,0,252,113,0
"Carlsbad-Artesia, NM","16100",2013,356,247,107,2,0,0,0,122,74,45,0,0,340,16,0
"Carson City, NV","16180",2013,275,180,80,5,9,1,0,220,80,47,0,0,187,88,0
"Casper, WY","16220",2013,365,302,61,2,0,0,0,133,54,42,0,15,341,9,0
"Ca¤on City, CO","15860",2013,62,60,2,0,0,0,0,78,34,16,0,0,0,0,62
"Cedar Rapids, IA","16300",2013,365,246,118,1,0,0,0,122,64,44,0,0,135,228,2
"Centralia, WA","16500",2013,330,287,43,0,0,0,0,80,53,23,0,0,0,330,0
"Chambersburg-Waynesboro, PA","16540",2013,344,279,61,4,0,0,0,115,61,40,0,0,344,0,0
"Champaign-Urbana, IL","16580",2013,365,309,56,0,0,0,0,100,55,37,5,0,311,49,0
"Charleston, WV","16620",2013,349,296,51,2,0,0,0,112,55,36,0,0,166,95,88
"Charleston-North Charleston, SC","16700",2013,365,302,63,0,0,0,0,84,55,37,0,12,117,236,0
"Charlotte-Concord-Gastonia, NC-SC","16740",2013,365,244,118,3,0,0,0,108,65,45,0,4,207,153,1
"Charlottesville, VA","16820",2013,364,312,52,0,0,0,0,74,54,36,0,0,155,209,0
"Chattanooga, TN-GA","16860",2013,363,227,135,1,0,0,0,101,63,45,0,0,136,227,0
"Cheyenne, WY","16940",2013,365,276,86,3,0,0,0,115,67,43,0,9,338,15,3
"Chicago-Naperville-Elgin, IL-IN-WI","16980",2013,365,90,258,16,1,0,0,186,84,59,0,34,95,212,24
"Chico, CA","17020",2013,365,147,209,8,1,0,0,169,90,54,0,0,221,144,0
"Cincinnati, OH-KY-IN","17140",2013,365,92,264,9,0,0,0,129,80,59,0,0,66,295,4
"Claremont-Lebanon, NH-VT","17200",2013,365,322,43,0,0,0,0,84,53,36,0,0,268,97,0
"Clarksburg, WV","17220",2013,119,93,26,0,0,0,0,69,56,34,0,0,0,119,0
"Clarksville, TN-KY","17300",2013,365,262,102,1,0,0,0,115,61,43,0,0,211,154,0
"Clearlake, CA","17340",2013,364,355,9,0,0,0,0,80,44,33,0,0,362,2,0
"Cleveland, MS","17380",2013,245,208,36,1,0,0,0,108,58,41,0,0,245,0,0
"Cleveland-Elyria, OH","17460",2013,365,152,207,5,1,0,0,151,78,55,10,9,96,240,10
"Clinton, IA","17540",2013,365,152,210,3,0,0,0,115,70,54,0,0,75,290,0
"Colorado Springs, CO","17820",2013,365,231,124,10,0,0,0,140,84,47,0,0,355,7,3
"Columbia, MO","17860",2013,214,178,36,0,0,0,0,97,58,42,0,0,214,0,0
"Columbia, SC","17900",2013,365,256,109,0,0,0,0,97,58,43,0,4,135,226,0
"Columbus, GA-AL","17980",2013,365,271,93,1,0,0,0,111,62,41,0,0,131,234,0
"Columbus, IN","18020",2013,214,175,39,0,0,0,0,93,67,35,0,92,122,0,0
"Columbus, OH","18140",2013,365,225,134,6,0,0,0,136,67,46,0,5,153,207,0
"Concord, NH","18180",2013,244,206,38,0,0,0,0,97,54,35,0,0,169,75,0
"Cookeville, TN","18260",2013,113,96,17,0,0,0,0,66,53,33,0,0,0,113,0
"Coos Bay, OR","18300",2013,186,185,1,0,0,0,0,57,23,10,0,0,0,186,0
"Corning, NY","18500",2013,365,343,22,0,0,0,0,84,47,31,29,0,296,40,0
"Corpus Christi, TX","18580",2013,365,274,91,0,0,0,0,100,64,42,0,0,199,164,2
"Corsicana, TX","18620",2013,365,267,93,5,0,0,0,126,68,42,0,3,239,123,0
"Corvallis, OR","18700",2013,355,302,52,1,0,0,0,109,58,17,0,0,0,355,0
"Craig, CO","18780",2013,357,290,67,0,0,0,0,90,58,44,0,0,357,0,0
"Crescent City, CA","18860",2013,126,123,3,0,0,0,0,72,23,13,0,0,0,89,37
"Crestview-Fort Walton Beach-Destin, FL","18880",2013,361,344,17,0,0,0,0,87,46,32,0,0,337,0,24
"Cullowhee, NC","19000",2013,253,205,47,1,0,0,0,119,55,44,0,0,187,66,0
"Dallas-Fort Worth-Arlington, TX","19100",2013,365,140,179,41,5,0,0,187,108,57,0,9,182,169,5
"Dalton, GA","19140",2013,281,256,25,0,0,0,0,93,50,38,0,0,228,53,0
"Daphne-Fairhope-Foley, AL","19300",2013,273,235,38,0,0,0,0,87,54,36,0,0,200,73,0
"Davenport-Moline-Rock Island, IA-IL","19340",2013,365,134,228,3,0,0,0,126,74,55,0,0,55,220,90
"Dayton, OH","19380",2013,365,177,179,8,1,0,0,159,73,51,0,0,131,234,0
"Decatur, AL","19460",2013,282,237,45,0,0,0,0,87,54,40,0,0,210,72,0
"Decatur, IL","19500",2013,365,293,72,0,0,0,0,87,59,41,0,0,226,139,0
"Deltona-Daytona Beach-Ormond Beach, FL","19660",2013,365,325,40,0,0,0,0,90,51,38,0,0,247,116,2
"Deming, NM","19700",2013,365,241,113,4,4,0,3,556,77,46,0,3,320,0,42
"Denver-Aurora-Lakewood, CO","19740",2013,365,102,219,36,8,0,0,169,105,62,0,62,249,44,10
"Des Moines-West Des Moines, IA","19780",2013,365,260,105,0,0,0,0,99,61,43,0,9,142,214,0
"Detroit-Warren-Dearborn, MI","19820",2013,365,186,169,10,0,0,0,146,74,49,0,17,110,217,21
"Dickinson, ND","19860",2013,365,348,17,0,0,0,0,77,49,37,0,0,361,4,0
"Dodge City, KS","19980",2013,365,364,1,0,0,0,0,54,13,6,0,0,0,0,365
"Dothan, AL","20020",2013,285,259,26,0,0,0,0,84,50,36,0,0,206,79,0
"Douglas, GA","20060",2013,59,52,7,0,0,0,0,59,55,32,0,0,0,59,0
"Dover, DE","20100",2013,357,275,82,0,0,0,0,100,60,41,0,0,228,129,0
"DuBois, PA","20180",2013,347,313,34,0,0,0,0,97,50,36,0,0,347,0,0
"Duluth, MN-WI","20260",2013,365,294,71,0,0,0,0,93,55,39,0,0,200,161,4
"Durango, CO","20420",2013,365,233,127,4,0,1,0,293,77,47,0,6,357,1,1
"Durant, OK","20460",2013,137,113,22,2,0,0,0,126,71,35,0,0,137,0,0
"Durham-Chapel Hill, NC","20500",2013,365,301,63,1,0,0,0,105,56,36,0,0,142,223,0
"Dyersburg, TN","20540",2013,99,75,24,0,0,0,0,66,58,36,0,0,0,99,0
"Eagle Pass, TX","20580",2013,330,279,50,1,0,0,0,105,54,29,0,0,0,330,0
"East Stroudsburg, PA","20700",2013,365,269,95,1,0,0,0,101,61,40,0,0,199,166,0
"Eau Claire, WI","20740",2013,358,288,70,0,0,0,0,82,57,38,0,0,185,165,8
"Effingham, IL","20820",2013,213,184,29,0,0,0,0,97,58,41,0,0,213,0,0
"El Centro, CA","20940",2013,365,151,175,35,3,1,0,207,101,56,4,30,198,40,93
"El Dorado, AR","20980",2013,120,86,34,0,0,0,0,99,60,35,0,0,0,120,0
"El Paso, TX","21340",2013,365,165,186,11,3,0,0,168,84,53,0,38,147,164,16
"Elizabethtown-Fort Knox, KY","21060",2013,364,251,113,0,0,0,0,90,61,44,0,0,106,258,0
"Elkhart-Goshen, IN","21140",2013,350,198,149,3,0,0,0,126,66,47,0,0,83,267,0
"Elko, NV","21220",2013,361,353,8,0,0,0,0,83,37,19,0,0,0,14,347
"Ellensburg, WA","21260",2013,348,292,56,0,0,0,0,93,57,18,0,0,0,348,0
"Emporia, KS","21380",2013,120,108,12,0,0,0,0,68,52,26,0,0,0,120,0
"Erie, PA","21500",2013,365,195,170,0,0,0,0,100,68,48,0,3,126,236,0
"Espa¤ola, NM","21580",2013,295,237,56,2,0,0,0,112,61,44,0,0,271,24,0
"Eugene, OR","21660",2013,365,237,107,20,1,0,0,161,82,40,0,0,129,235,1
"Eureka-Arcata-Fortuna, CA","21700",2013,365,299,65,1,0,0,0,108,58,35,1,1,144,218,1
"Evanston, WY","21740",2013,365,312,53,0,0,0,0,93,54,44,0,0,363,0,2
"Evansville, IN-KY","21780",2013,365,196,166,3,0,0,0,108,70,50,3,0,148,214,0
"Fairbanks, AK","21820",2013,365,197,109,31,28,0,0,194,133,44,0,0,69,286,10
"Fairmont, WV","21900",2013,122,94,28,0,0,0,0,75,56,37,0,0,0,122,0
"Fallon, NV","21980",2013,210,153,57,0,0,0,0,87,61,46,0,0,210,0,0
"Fargo, ND-MN","22020",2013,355,300,55,0,0,0,0,88,54,37,2,11,212,120,10
"Farmington, NM","22140",2013,365,238,121,5,1,0,0,156,77,46,0,23,332,9,1
"Fayetteville, NC","22180",2013,336,277,58,1,0,0,0,105,56,39,0,0,152,184,0
"Fayetteville-Springdale-Rogers, AR-MO","22220",2013,365,287,78,0,0,0,0,97,61,42,0,0,318,47,0
"Fernley, NV","22280",2013,208,135,73,0,0,0,0,90,67,47,0,0,208,0,0
"Flagstaff, AZ","22380",2013,364,262,99,3,0,0,0,115,71,46,0,0,360,4,0
"Flint, MI","22420",2013,238,189,48,1,0,0,0,105,64,41,0,0,170,68,0
"Florence, SC","22500",2013,337,264,73,0,0,0,0,93,58,39,0,0,165,172,0
"Florence-Muscle Shoals, AL","22520",2013,285,252,33,0,0,0,0,80,51,38,0,0,202,83,0
"Fond du Lac, WI","22540",2013,189,167,22,0,0,0,0,90,54,39,0,0,189,0,0
"Fort Collins, CO","22660",2013,365,194,143,26,2,0,0,164,93,49,0,0,349,14,2
"Fort Madison-Keokuk, IA-IL-MO","22800",2013,110,71,39,0,0,0,0,88,64,40,0,0,0,110,0
"Fort Payne, AL","22840",2013,360,319,41,0,0,0,0,93,52,38,0,0,305,55,0
"Fort Smith, AR-OK","22900",2013,365,300,64,1,0,0,0,105,58,38,0,49,215,62,39
"Fort Wayne, IN","23060",2013,365,209,155,1,0,0,0,104,68,48,4,0,104,257,0
"Fresno, CA","23420",2013,365,53,173,114,25,0,0,197,147,87,0,1,215,143,6
"Gadsden, AL","23460",2013,281,244,37,0,0,0,0,90,52,37,0,0,197,84,0
"Gaffney, SC","23500",2013,242,209,32,1,0,0,0,101,54,40,0,0,242,0,0
"Gainesville, FL","23540",2013,359,321,38,0,0,0,0,100,51,35,0,0,220,139,0
"Gainesville, GA","23580",2013,342,215,127,0,0,0,0,90,63,42,0,0,0,342,0
"Gallup, NM","23700",2013,128,127,1,0,0,0,0,51,31,17,0,0,0,0,128
"Gardnerville Ranchos, NV","23820",2013,277,204,53,5,9,6,0,280,85,33,0,0,0,277,0
"Georgetown, SC","23860",2013,356,354,2,0,0,0,0,53,25,15,0,0,0,0,356
"Gettysburg, PA","23900",2013,365,240,122,3,0,0,0,120,67,44,1,6,198,160,0
"Gillette, WY","23940",2013,365,226,138,1,0,0,0,106,64,47,0,37,183,25,120
"Glenwood Springs, CO","24060",2013,365,239,125,1,0,0,0,101,74,47,0,3,361,0,1
"Goldsboro, NC","24140",2013,359,237,122,0,0,0,0,89,61,40,0,0,0,359,0
"Grand Island, NE","24260",2013,114,94,20,0,0,0,0,76,57,27,0,0,0,114,0
"Grand Junction, CO","24300",2013,365,227,134,4,0,0,0,117,71,47,0,0,325,30,10
"Grand Rapids-Wyoming, MI","24340",2013,365,257,104,4,0,0,0,138,71,41,0,0,205,160,0
"Grants Pass, OR","24420",2013,365,231,115,6,8,3,2,350,82,37,0,0,0,365,0
"Great Falls, MT","24500",2013,337,311,26,0,0,0,0,71,48,26,0,0,0,337,0
"Greeley, CO","24540",2013,365,226,128,11,0,0,0,133,87,46,0,0,335,30,0
"Green Bay, WI","24580",2013,365,265,98,2,0,0,0,119,64,40,0,0,179,186,0
"Greensboro-High Point, NC","24660",2013,358,278,79,1,0,0,0,105,56,40,0,0,158,199,1
"Greenville, NC","24780",2013,262,234,28,0,0,0,0,100,51,35,0,0,188,74,0
"Greenville-Anderson-Mauldin, SC","24860",2013,365,278,87,0,0,0,0,97,59,42,0,34,177,151,3
"Greenwood, SC","24940",2013,195,190,5,0,0,0,0,80,44,33,0,0,195,0,0
"Guayama, PR","25020",2013,123,121,2,0,0,0,0,55,35,18,0,0,0,44,79
"Gulfport-Biloxi-Pascagoula, MS","25060",2013,362,294,67,1,0,0,0,105,58,40,0,4,160,198,0
"Hagerstown-Martinsburg, MD-WV","25180",2013,363,259,98,6,0,0,0,131,67,44,0,0,160,203,0
"Hammond, LA","25220",2013,123,109,14,0,0,0,0,79,53,28,0,0,0,123,0
"Hanford-Corcoran, CA","25260",2013,365,76,194,80,15,0,0,189,130,77,0,0,198,123,44
"Harrisburg-Carlisle, PA","25420",2013,365,160,193,12,0,0,0,139,79,53,0,0,125,240,0
"Harrison, AR","25460",2013,365,319,46,0,0,0,0,90,52,37,0,0,338,27,0
"Harrisonburg, VA","25500",2013,365,334,31,0,0,0,0,77,50,34,0,115,186,64,0
"Hartford-West Hartford-East Hartford, CT","25540",2013,365,208,143,11,3,0,0,179,80,48,0,15,111,239,0
"Hattiesburg, MS","25620",2013,361,279,81,1,0,0,0,107,58,38,0,0,0,361,0
"Helena, MT","25740",2013,365,314,51,0,0,0,0,100,57,38,0,0,249,116,0
"Hermiston-Pendleton, OR","25840",2013,364,269,89,6,0,0,0,115,67,40,0,0,133,231,0
"Hickory-Lenoir-Morganton, NC","25860",2013,364,294,70,0,0,0,0,100,55,40,0,0,139,225,0
"Hilo, HI","25900",2013,365,81,284,0,0,0,0,93,68,56,0,0,0,365,0
"Hobbs, NM","26020",2013,365,276,87,2,0,0,0,111,71,37,0,16,274,72,3
"Holland, MI","26090",2013,240,167,65,7,1,0,0,154,80,43,0,0,171,69,0
"Homosassa Springs, FL","26140",2013,119,112,7,0,0,0,0,75,47,27,0,0,0,119,0
"Hot Springs, AR","26300",2013,120,92,28,0,0,0,0,72,61,36,0,0,0,120,0
"Houghton, MI","26340",2013,122,118,4,0,0,0,0,58,28,9,0,0,0,122,0
"Houma-Thibodaux, LA","26380",2013,365,318,46,1,0,0,0,146,52,37,0,0,269,96,0
"Houston-The Woodlands-Sugar Land, TX","26420",2013,365,157,184,19,5,0,0,197,87,53,0,19,142,200,4
"Huntington, IN","26540",2013,183,177,6,0,0,0,0,77,46,36,0,0,183,0,0
"Huntington-Ashland, WV-KY-OH","26580",2013,365,238,126,1,0,0,0,119,64,45,0,5,109,244,7
"Huntsville, AL","26620",2013,336,282,54,0,0,0,0,90,54,40,0,0,220,63,53
"Idaho Falls, ID","26820",2013,360,325,35,0,0,0,0,89,50,42,0,0,354,6,0
"Indiana, PA","26860",2013,352,305,42,4,1,0,0,169,58,36,0,0,352,0,0
"Indianapolis-Carmel-Anderson, IN","26900",2013,365,118,239,8,0,0,0,124,80,57,0,1,89,275,0
"Iowa City, IA","26980",2013,365,243,121,1,0,0,0,103,63,42,0,0,0,363,2
"Ithaca, NY","27060",2013,351,327,24,0,0,0,0,93,48,35,0,0,351,0,0
"Jackson, MS","27140",2013,365,249,116,0,0,0,0,93,62,44,0,0,112,253,0
"Jackson, TN","27180",2013,114,88,26,0,0,0,0,68,55,33,0,0,0,114,0
"Jackson, WY-ID","27220",2013,365,310,55,0,0,0,0,80,58,44,0,0,360,4,1
"Jacksonville, FL","27260",2013,365,300,64,1,0,0,0,111,56,39,0,1,202,162,0
"Jamestown-Dunkirk-Fredonia, NY","27460",2013,347,310,36,1,0,0,0,119,51,36,0,0,326,21,0
"Janesville-Beloit, WI","27500",2013,190,146,43,1,0,0,0,105,67,42,0,0,190,0,0
"Jasper, IN","27540",2013,120,71,49,0,0,0,0,75,64,45,0,0,0,119,1
"Jefferson City, MO","27620",2013,214,188,26,0,0,0,0,77,51,41,0,0,214,0,0
"Johnstown, PA","27780",2013,365,214,148,3,0,0,0,129,70,46,0,4,115,242,4
"Joplin, MO","27900",2013,362,303,57,2,0,0,0,105,58,35,0,0,198,0,164
"Juneau, AK","27940",2013,346,309,35,2,0,0,0,107,53,19,0,0,0,334,12
"Kahului-Wailuku-Lahaina, HI","27980",2013,362,328,34,0,0,0,0,79,50,28,0,0,0,362,0
"Kalamazoo-Portage, MI","28020",2013,241,180,60,1,0,0,0,105,64,42,0,0,168,73,0
"Kalispell, MT","28060",2013,365,284,77,4,0,0,0,125,59,40,0,0,185,140,40
"Kansas City, MO-KS","28140",2013,365,166,189,10,0,0,0,136,80,53,0,8,157,194,6
"Kapaa, HI","28180",2013,365,364,1,0,0,0,0,53,32,15,5,72,0,288,0
"Keene, NH","28300",2013,365,282,80,3,0,0,0,108,67,38,0,0,244,121,0
"Kennewick-Richland, WA","28420",2013,365,304,58,2,0,0,1,515,57,25,0,0,0,315,50
"Killeen-Temple, TX","28660",2013,362,294,64,4,0,0,0,115,67,40,0,0,362,0,0
"Kingsport-Bristol-Bristol, TN-VA","28700",2013,365,289,75,1,0,0,0,101,57,39,2,126,177,60,0
"Kingsville, TX","28780",2013,349,293,55,1,0,0,0,107,55,31,0,0,0,349,0
"Kinston, NC","28820",2013,262,232,30,0,0,0,0,100,51,36,0,0,188,74,0
"Klamath Falls, OR","28900",2013,364,217,121,22,4,0,0,164,90,38,0,0,0,364,0
"Knoxville, TN","28940",2013,365,121,242,2,0,0,0,121,70,55,0,0,104,254,7
"La Crosse-Onalaska, WI-MN","29100",2013,361,256,105,0,0,0,0,85,64,42,0,0,128,233,0
"La Grande, OR","29260",2013,365,275,85,5,0,0,0,145,70,33,0,0,0,365,0
"Laconia, NH","29060",2013,213,205,8,0,0,0,0,84,46,31,0,0,176,37,0
"Lafayette, LA","29180",2013,365,220,143,2,0,0,0,119,64,45,0,0,149,215,1
"Lafayette-West Lafayette, IN","29200",2013,365,167,198,0,0,0,0,99,72,52,0,0,57,308,0
"Lake Charles, LA","29340",2013,365,252,110,3,0,0,0,115,67,43,0,1,189,175,0
"Lake City, FL","29380",2013,364,295,69,0,0,0,0,88,57,39,0,0,136,228,0
"Lake Havasu City-Kingman, AZ","29420",2013,358,343,14,1,0,0,0,127,36,18,0,0,0,42,316
"Lakeland-Winter Haven, FL","29460",2013,365,310,54,1,0,0,0,105,54,37,0,0,222,141,2
"Lancaster, PA","29540",2013,365,205,152,8,0,0,0,142,74,47,0,2,170,193,0
"Lansing-East Lansing, MI","29620",2013,362,306,55,1,0,0,0,108,58,37,0,16,313,33,0
"Laramie, WY","29660",2013,364,238,123,3,0,0,0,122,67,47,0,0,301,7,56
"Laredo, TX","29700",2013,365,275,87,3,0,0,0,122,66,40,1,0,153,199,12
"Las Cruces, NM","29740",2013,365,151,160,39,8,2,5,458,112,57,0,3,270,12,80
"Las Vegas-Henderson-Paradise, NV","29820",2013,365,106,221,34,4,0,0,166,101,61,0,7,248,103,7
"Lawrenceburg, TN","29980",2013,110,90,20,0,0,0,0,64,55,33,0,0,0,110,0
"Lawton, OK","30020",2013,365,246,113,6,0,0,0,119,71,44,0,0,261,104,0
"Lebanon, PA","30140",2013,365,220,134,11,0,0,0,141,74,45,0,0,218,147,0
"Lewiston, ID-WA","30300",2013,323,252,71,0,0,0,0,98,62,31,0,0,0,323,0
"Lewiston-Auburn, ME","30340",2013,361,310,51,0,0,0,0,95,54,34,0,0,160,200,1
"Lexington, NE","30420",2013,60,55,5,0,0,0,0,72,50,19,0,0,0,0,60
"Lexington-Fayette, KY","30460",2013,365,250,115,0,0,0,0,81,60,43,0,23,117,223,2
"Lima, OH","30620",2013,362,300,60,2,0,0,0,112,58,36,0,0,183,179,0
"Lincoln, NE","30700",2013,257,229,28,0,0,0,0,74,52,36,0,0,186,71,0
"Little Rock-North Little Rock-Conway, AR","30780",2013,365,198,164,3,0,0,0,108,71,49,0,2,150,213,0
"Logan, UT-ID","30860",2013,365,191,130,28,16,0,0,175,114,49,0,21,150,193,1
"Longview, TX","30980",2013,364,310,50,4,0,0,0,129,54,35,0,3,361,0,0
"Longview, WA","31020",2013,365,317,48,0,0,0,0,82,54,22,0,0,0,365,0
"Los Alamos, NM","31060",2013,121,120,1,0,0,0,0,53,25,10,0,0,0,121,0
"Los Angeles-Long Beach-Anaheim, CA","31080",2013,365,22,240,78,25,0,0,197,140,77,0,19,176,167,3
"Louisville/Jefferson County, KY-IN","31140",2013,365,149,213,3,0,0,0,108,74,54,0,2,88,275,0
"Lubbock, TX","31180",2013,334,310,23,0,1,0,0,165,45,26,0,0,0,334,0
"Ludington, MI","31220",2013,181,141,38,2,0,0,0,112,67,40,0,0,181,0,0
"Lumberton, NC","31300",2013,117,101,16,0,0,0,0,64,53,30,0,0,0,117,0
"Lynchburg, VA","31340",2013,118,105,13,0,0,0,0,71,51,28,0,0,0,118,0
"Macon, GA","31420",2013,365,253,111,1,0,0,0,105,61,43,0,0,101,264,0
